var,label
hh1,enumeration number
hh2,household number
ln,line number
wm1,cluster number
wm2,household number
wm4,woman's line number
wm5,interviewer number
wm6d,day of interview
wm6m,month of interview
wm6y,year of interview
wm7,result of women 's interview
wm7a,questionnaire administered in privacy
wm7b,field editor number
wm7c,field supervisor number
wm7dh,time taken(hours)
wm7dm,time taken(minutes)
wm8m,month of birth of woman
wm8y,year of birth of woman
wm9,age of woman
wm10,have you ever attended school
wm11,what is the highest level of school you attended
wm12,what is the highest grade completed at that level
wm14,can you read this sentence
wm14u,how long have you been living in current residence(unit)
wm14n,how long have you been living in current residence(months/ye
wm14b,"just before you moved here , where did you live"
wm14c,in the past 12 months on how many separate occasions you tra
wm14d,in the last 12 months have you been away from your home comm
wm6c,cmc date of interview
wm8c,cmc date of birth of respondent
wm8f,flag for date of birth of respondent
wm9c,calculated age
cm1,ever given birth
cm2ad,day of first birth
cm2am,month of first birth
cm2ay,year of first birth
cm2b,years since first birth
cm3,any sons or daughters living with you
cm4a,sons living with you
cm4b,daughters living with you
cm5,any sons or daughters not living with you
cm6a,sons living not with you
cm6b,daughters not living with you
cm7,ever had child who later died
cm8a,boys dead
cm8b,girls dead
cm9,children ever born
cm11l,any live births since last births
cm11o,did child die in last 5 years
cm11p,child registered with death registry
cm11m,month of birth
cm11y,year of birth
cm12,live birth in last 2 years
cm13,wanted last child
tt1,has immunization card
tt2,any tetanus toxoid injection during last pregnancy
tt3,doses of tetanus toxoid during last pregnancy
tt5,any tetanus toxoid injection before last pregnancy
tt6,doses of tetanus toxoid before last pregnancy
tt7m,month last tetanus toxoid received
tt7y,year last tetanus toxoid received
tt8,years ago last tetanus toxoid received
mn1,vitamin a dose after last birth
mn2a,antenatal care: doctor
mn2b,antenatal care: nurse/midwife
mn2c,antenatal care: auxilary midwife
mn2e,antenatal care: trained traditional birth attendant
mn2f,antenatal care: untrained traditional birth attendant
mn2g,antenatal care: community health worker
mn2h,antenatal care: relative/friend
mn2x,antenatal care: other
mn2y,antenatal care: no one
mn2aa,months of first prenancy
mn2bb,times of antenatal
mn3a,weighed
mn3b,blood pressure measured
mn3c,urine sample
mn3d,blood sample
mn4,counseled about aids or the aids virus
mn5,tested for hiv/aids
mn6,received result of hiv test
mn6a,any medicine taken in order to prevent malaria
mn6ba,fansidar
mn6bb,chloroquine
mn6bx,other medicine taken
mn6bz,dk
mn6d,number of times you took fancidar
mn6e,presence of health worker
mn6h,sleep in treated net
mn7a,assistance at delivery: doctor
mn7b,assistance at delivery: nurse/midwife
mn7c,assistance at delivery: auxiliary midwife
mn7e,assistance at delivery: trained traditional birth attendant
mn7f,assistance at delivery: untrained traditional birth attendan
mn7g,assistance at delivery: community health worker
mn7h,assistance at delivery: relative/friend
mn7x,assistance at delivery: other
mn7y,assistance at delivery: no one
mn8,place of delivery
mn9,size of child at birth
mn10,child weighed at birth
mn11,weight from card or recall
mn11a,weight at birth (kilograms)
mn12,ever breastfeed
mn13u,time baby put to breast (unit)
mn13n,time baby put to breast (number)
ma1,currently married or living with a man
ma2,age of husband/partner
ma2a,besides your self does your husband have any other wives?
ma2b,number of other wives
ma3,ever married or lived with a man
ma4,marital status
ma5,married or lived with a man once or more than once
ma6m,month of first union
ma6y,year of first union
ma8,age at first union
