var,label
hh1,Cluster number
hh2,Household number
ln,Line number
wm1,Cluster number
wm2,Household number
wm4,Woman's line number
wm5,Interviewer number
wm6d,Day of interview
wm6m,Month of interview
wm6y,Year of interview
wm7,Result of woman's interview
wm8,Field editor
wm9,Data entry clerk
wm10h,Start of interview - Hour
wm10m,Start of interview - Minutes
wm11h,End of interview - Hour
wm11m,End of interview - Minutes
wb1m,Month of birth of woman
wb1y,Year of birth of woman
wb2,Age of woman
wb3,Ever attended school
wb4,Highest level of school attended
wb5,Highest grade completed at that level
wb7,Can read part of the sentence
mt2,Frequency of reading newspaper or magazine
mt3,Frequency of listening to the radio
mt4,Frequency of watching TV
mt6,Ever used a computer
mt7,Computer usage in the last 12 months
mt8,Frequency of computer usage in the last month
mt9,Ever used internet
mt10,Internet usage in the last 12 months
mt11,Frequency of Internet usage in the past month
mt12,Ever used a mobile or non-mobile phone
mt13,Mobile or non-mobile phone usage in the last 12 months
mt14,Frequency of mobile or non-mobile usage in the past month
cm1,Ever given birth
cm4,Any sons or daughters living with you
cm5a,Sons living with you
cm5b,Daughters living with you
cm6,Any sons or daughters not living with you
cm7a,Sons living elsewhere
cm7b,Daughters living elsewhere
cm8,Ever had child who later died
cm9a,Boys dead
cm9b,Girls dead
cm10,Children ever born
cm12m,Month of last birth
cm12y,Year of last birth
cm13,Last birth in last two years
bh11,Have you had any live births since the birth of name?
db1,Wanted last child then
db2,Wanted child later or did not want more children
db3u,Desired waiting time (units)
db3n,Desired waiting time (number)
mn1,Received antenatal care
mn2a,Antenatal care: Doctor
mn2b,Antenatal care: Nurse / Midwife
mn2f,Antenatal care: Traditional birth attendant
mn2g,Antenatal care: Community health worker
mn2x,Antenatal care: Other
mn2au,Weeks or months pregnant at first ANC - unit
mn2an,Weeks or months pregnant at first ANC - number
mn3,Times received antenatal care
mn4a,Blood pressure
mn4b,Urine sample
mn4c,Blood sample
mn4a1,Any iron tablets during pregnancy
mn4b1,Duration iron tablets taken
mn4c1,Average duration iron tablets taken
mn4da,Source of iron tablets - Public sector:Government hospital
mn4db,Source of iron tablets - Public sector:Health centre/clinic
mn4dc,Source of iron tablets - Public sector:Village health worker/City health promoter
mn4dd,Source of iron tablets - Public sector:Mobile outreach clinic
mn4de,Source of iron tablets - Public sector:Council facility
mn4dh,Source of iron tablets - Public sector:Other specify
mn4di,Source of iron tablets - Private Medical Sector:Private hospital
mn4dj,Source of iron tablets - Private Medical Sector:Private clinic
mn4dk,Source of iron tablets - Private Medical Sector:Phamacy
mn4do,Source of iron tablets - Private Medical Sector:Other private medical
mn4dt,Source of iron tablets - Private Medical Sector:Mission facility
mn4dx,Source of iron tablets - Private Medical Sector:Other specify
mn4e,Any folate tablets during pregnancy
mn4f,Duration folate tablets taken
mn4g,Average durattion folate tablets taken
